"","table.name.out","trt_diff","sd1","sd2","t_test","wlm","rt_t","cust.1","t_bias","t_cp","wlm_bias","wlm_cp","cust_bias","cust_cp","t_sd","wlm_sd","cust_sd"
"1","function (time) {    0.36 - 0.021 * time + 0.00065 * time^2}","0","0.3","0.3","0.02443","0.02491","0.0254","0.02473","-4.64124693178891e-05","0.95005","-4.5163116807782e-05","0.94987","-5.34327185770218e-05","0.94942","0.0302318509446928","0.0302371559217248","0.0300913410026439"
"2","function (time) {    0.36 - 0.021 * time + 0.00065 * time^2}","0.12","0.3","0.3","0.97576","0.97623","0.97615","0.97769","6.83011437235729e-05","0.94892","7.15935897164167e-05","0.94868","7.57530914983072e-05","0.94861","0.0304051365462565","0.0304327455301093","0.0302773092591285"
"3","function (time) {    0.46 - 0.507 * time - 0.00977 * time^2 + 0.287 * time^1.3}","0","0.3","0.3","0.02511","0.02529","0.02628","0.02627","-5.71677146459423e-05","0.94923","-0.000129144631710485","0.94954","-0.00010993810901411","0.94832","0.0354855001131481","0.0319516998037572","0.030481579243702"
"4","function (time) {    0.46 - 0.507 * time - 0.00977 * time^2 + 0.287 * time^1.3}","0.12","0.3","0.3","0.9206","0.96299","0.92079","0.97669","-0.000153765831083431","0.94918","-0.00011774541101499","0.94843","-3.34331860393116e-05","0.94877","0.0354972608257081","0.0319745053809498","0.0304116027798974"
"5","function (time) {    26.57 + 0.863 * time - 11.34 * log(time + 10) - 0.0114 *         time^2}","0","0.3","0.3","0.02582","0.02634","0.02695","0.02606","-8.94049444281845e-05","0.9482","1.05722575625358e-05","0.94803","1.71293750648914e-05","0.94877","0.0425641098065999","0.0348137218378216","0.0303714323467134"
"6","function (time) {    26.57 + 0.863 * time - 11.34 * log(time + 10) - 0.0114 *         time^2}","0.12","0.3","0.3","0.80561","0.93138","0.80662","0.97709","5.9978363118845e-05","0.94858","-3.03657148456439e-05","0.94992","2.08816750817082e-05","0.95028","0.0424673290213357","0.0347652144663022","0.030241370586948"
"7","function (time) {    0.36 - 0.021 * time + 0.00065 * time^2}","0","0.4","0.2","0.02498","0.02541","0.02604","0.02596","-1.03718508790101e-05","0.94841","-0.000127000225258111","0.94814","-1.81473622757564e-05","0.94724","0.0320060797983607","0.0319995307091685","0.031796510197426"
"8","function (time) {    0.36 - 0.021 * time + 0.00065 * time^2}","0.12","0.4","0.2","0.96208","0.96236","0.96247","0.96517","-1.77098010013148e-05","0.94909","-0.000125759866014725","0.94911","-1.36628846729413e-05","0.94845","0.0319852142129187","0.0319941669825208","0.031764278938043"
"9","function (time) {    0.46 - 0.507 * time - 0.00977 * time^2 + 0.287 * time^1.3}","0","0.4","0.2","0.02529","0.02567","0.02608","0.02568","-9.75006371054974e-05","0.9492","-8.62592280792644e-05","0.94849","-0.000178304448655856","0.9477","0.0367929292940003","0.0334012561234319","0.03193832110841"
"10","function (time) {    0.46 - 0.507 * time - 0.00977 * time^2 + 0.287 * time^1.3}","0.12","0.4","0.2","0.90035","0.94725","0.90205","0.96277","-0.000129324941146232","0.94937","-0.000142837926610432","0.94851","-0.000258434947493983","0.9472","0.0367490854948006","0.0334474589722646","0.0320011439398291"
"11","function (time) {    26.57 + 0.863 * time - 11.34 * log(time + 10) - 0.0114 *         time^2}","0","0.4","0.2","0.02528","0.02586","0.02621","0.02585","0.000171277387541078","0.94998","0.000132290553871165","0.95008","5.86690849173958e-05","0.94869","0.0434345122305308","0.036009523732469","0.0319096911954699"
"12","function (time) {    26.57 + 0.863 * time - 11.34 * log(time + 10) - 0.0114 *         time^2}","0.12","0.4","0.2","0.78577","0.91307","0.78693","0.96406","6.51024531651202e-05","0.94971","9.51055600142065e-05","0.94863","-5.49287031646799e-06","0.94711","0.0434901978759026","0.0361662688074031","0.0319995845191647"
